id_venda;data;cliente;produto;categoria;quantidade;valor_unitario;cidade;estado;forma_pagamento;valor_total
1;2026-01-01T00:19:00;Arthur Fernandes;Roteador Wi-Fi 6;Informática;7;320.0;Londrina;PR;Boleto Bancário;2240.0
2;2026-01-01T09:18:00;Rafael Ferreira;Notebook Pro;Informática;4;6200.0;Apucarana;PR;Cartão de Crédito;24800.0
3;2026-01-01T09:46:00;Amanda Pereira;Mousepad Extended;Informática;6;69.9;Londrina;PR;Pix;419.4
4;2026-01-01T21:55:00;Enzo Rodrigues;Memória RAM 16GB DDR4;Informática;4;320.0;Maringá;PR;Boleto Bancário;1280.0
5;2026-01-01T23:13:00;Amanda Souza;Cabo de Rede CAT6 5m;Informática;6;25.0;Ibiporã;PR;Boleto Bancário;150.0
6;2026-01-02T03:49:00;Mateus Vieira;Notebook Gamer;Informática;3;5499.0;Cambé;PR;Cartão de Crédito;16497.0
7;2026-01-02T05:55:00;João Lopes;HD Externo 2TB;Informática;1;449.0;Cambé;PR;Pix;449.0
8;2026-01-02T06:19:00;Mateus Barbosa;Roteador Wi-Fi 6;Informática;10;320.0;Cambé;PR;Cartão de Crédito;3200.0
9;2026-01-02T13:08:00;Rafael Souza;Mouse Gamer RGB;Informática;5;149.9;Apucarana;PR;Boleto Bancário;749.5
10;2026-01-03T03:27:00;João Lima;Water Cooler 240mm;Informática;11;410.0;Londrina;PR;Cartão de Crédito;4510.0
11;2026-01-03T08:41:00;Guilherme Martins;Suporte Articulado;Informática;1;150.0;Apucarana;PR;Boleto Bancário;150.0
12;2026-01-03T14:57:00;Daniel Barbosa;Memória RAM 32GB DDR5;Informática;3;750.0;Maringá;PR;Cartão de Crédito;2250.0
13;2026-01-03T22:10:00;Gabriel Lima;Scanner de Mesa;Informática;4;650.0;Ibiporã;PR;Pix;2600.0
14;2026-01-04T06:59:00;Thiago Rodrigues;Monitor Gamer 27 165Hz;Informática;10;1350.0;Ibiporã;PR;Pix;13500.0
15;2026-01-04T18:18:00;Julia Carvalho;Notebook Gamer;Informática;7;5499.0;Arapongas;PR;Cartão de Crédito;38493.0
16;2026-01-05T00:34:00;Daniel Ribeiro;Notebook Gamer;Informática;2;5499.0;Arapongas;PR;Boleto Bancário;10998.0
17;2026-01-05T02:18:00;Mateus Barbosa;Filtro Linha 6 Tomadas;Informática;12;49.9;Apucarana;PR;Pix;598.8
