id_venda;data;cliente;produto;categoria;quantidade;valor_unitario;cidade;estado;forma_pagamento
1;01/01/2026 00:19;Arthur Fernandes;Roteador Wi-Fi 6;Informática;7;320.0;Londrina;PR;Boleto Bancário
2;01/01/2026 09:18;Rafael Ferreira;Notebook Pro;Informática;4;6200.0;Apucarana;PR;Cartão de Crédito
3;01/01/2026 09:46;Amanda Pereira;Mousepad Extended;Informática;6;69.9;Londrina;PR;Pix
4;01/01/2026 21:55;Enzo Rodrigues;Memória RAM 16GB DDR4;Informática;4;320.0;Maringá;PR;Boleto Bancário
5;01/01/2026 23:13;Amanda Souza;Cabo de Rede CAT6 5m;Informática;6;25.0;Ibiporã;PR;Boleto Bancário
6;02/01/2026 03:49;Mateus Vieira;Notebook Gamer;Informática;3;5499.0;Cambé;PR;Cartão de Crédito
7;02/01/2026 05:55;João Lopes;HD Externo 2TB;Informática;1;449.0;Cambé;PR;Pix
8;02/01/2026 06:19;Mateus Barbosa;Roteador Wi-Fi 6;Informática;10;320.0;Cambé;PR;Cartão de Crédito
9;02/01/2026 13:08;Rafael Souza;Mouse Gamer RGB;Informática;5;149.9;Apucarana;PR;Boleto Bancário
10;03/01/2026 03:27;João Lima;Water Cooler 240mm;Informática;11;410.0;Londrina;PR;Cartão de Crédito
11;03/01/2026 08:41;Guilherme Martins;Suporte Articulado;Informática;1;150.0;Apucarana;PR;Boleto Bancário
12;03/01/2026 14:57;Daniel Barbosa;Memória RAM 32GB DDR5;Informática;3;750.0;Maringá;PR;Cartão de Crédito
13;03/01/2026 22:10;Gabriel Lima;Scanner de Mesa;Informática;4;650.0;Ibiporã;PR;Pix
14;04/01/2026 06:59;Thiago Rodrigues;Monitor Gamer 27 165Hz;Informática;10;1350.0;Ibiporã;PR;Pix
15;04/01/2026 18:18;Julia Carvalho;Notebook Gamer;Informática;7;5499.0;Arapongas;PR;Cartão de Crédito
16;05/01/2026 00:34;Daniel Ribeiro;Notebook Gamer;Informática;2;5499.0;Arapongas;PR;Boleto Bancário
17;05/01/2026 02:18;Mateus Barbosa;Filtro Linha 6 Tomadas;Informática;12;49.9;Apucarana;PR;Pix
18;05/01/2026 07:13;Bruna Fernandes;Monitor Gamer 27 165Hz;Informática;10;1350.0;Londrina;PR;Boleto Bancário
19;05/01/2026 08:35;Beatriz Rodrigues;Placa-Mãe MSI Gaming;Informática;8;890.0;Ibiporã;PR;Boleto Bancário
20;05/01/2026 11:19;João Pereira;Impressora Tanque Tinta;Informática;2;1100.0;Cambé;PR;Pix
21;05/01/2026 11:21;Mateus Vieira;HD Externo 2TB;Informática;4;449.0;Arapongas;PR;Pix
22;05/01/2026 11:50;Letícia Souza;Mouse Gamer RGB;Informática;6;149.9;Cambé;PR;Boleto Bancário
23;05/01/2026 20:32;Leonardo Alves;Memória RAM 32GB DDR5;Informática;8;750.0;Apucarana;PR;Boleto Bancário
24;06/01/2026 01:50;Mateus Pereira;Suporte Articulado;Informática;1;150.0;Londrina;PR;Boleto Bancário
25;06/01/2026 12:55;Larissa Fernandes;Monitor 21.5 IPS;Informática;2;599.0;Maringá;PR;Pix
26;06/01/2026 18:24;Felipe Pereira;Monitor 21.5 IPS;Informática;7;599.0;Maringá;PR;Boleto Bancário
27;06/01/2026 21:52;João Santos;Memória RAM 32GB DDR5;Informática;5;750.0;Maringá;PR;Pix
28;07/01/2026 01:15;Larissa Oliveira;Placa-Mãe MSI Gaming;Informática;6;890.0;Apucarana;PR;Cartão de Crédito
29;07/01/2026 02:22;Gustavo Martins;Headset Gamer;Informática;11;199.9;Maringá;PR;Cartão de Crédito
30;07/01/2026 02:41;Vitor Barbosa;Caixa de Som PC;Informática;5;120.0;Ibiporã;PR;Boleto Bancário
31;07/01/2026 04:00;Larissa Almeida;Suporte Articulado;Informática;7;150.0;Ibiporã;PR;Cartão de Crédito
32;07/01/2026 15:06;Rodrigo Fernandes;Scanner de Mesa;Informática;1;650.0;Maringá;PR;Pix
33;07/01/2026 19:30;Enzo Vieira;Placa-Mãe ASUS Prime;Informática;10;780.0;Maringá;PR;Boleto Bancário
34;07/01/2026 19:59;Arthur Lopes;Mini PC Intel;Informática;1;1250.0;Londrina;PR;Boleto Bancário
35;07/01/2026 23:11;Gabriel Fernandes;Teclado Mecânico;Informática;7;249.9;Ibiporã;PR;Cartão de Crédito
36;08/01/2026 01:30;Lucas Martins;Monitor Gamer 24 144Hz;Informática;4;980.0;Arapongas;PR;Cartão de Crédito
37;08/01/2026 02:02;Julia Gomes;Nobreak 1500VA;Informática;2;799.0;Apucarana;PR;Pix
38;08/01/2026 02:47;Felipe Costa;Mouse Sem Fio;Informática;7;89.9;Maringá;PR;Boleto Bancário
39;08/01/2026 10:59;Thiago Rodrigues;Mini PC Intel;Informática;2;1250.0;Cambé;PR;Boleto Bancário
40;08/01/2026 12:21;Letícia Santos;Processador Intel i7;Informática;11;1950.0;Maringá;PR;Pix
41;08/01/2026 15:56;Letícia Ferreira;Teclado de Membrana;Informática;4;79.9;Ibiporã;PR;Boleto Bancário
42;09/01/2026 02:25;Guilherme Martins;SSD 500GB NVMe;Informática;10;260.0;Ibiporã;PR;Pix
43;09/01/2026 05:59;Bruna Martins;HD Externo 2TB;Informática;2;449.0;Maringá;PR;Cartão de Crédito
44;09/01/2026 14:38;Mateus Alves;Cabo de Rede CAT6 5m;Informática;7;25.0;Apucarana;PR;Pix
45;09/01/2026 19:09;Felipe Costa;Mouse Gamer RGB;Informática;4;149.9;Apucarana;PR;Boleto Bancário
46;10/01/2026 05:26;João Ferreira;Placa-Mãe MSI Gaming;Informática;9;890.0;Cambé;PR;Boleto Bancário
