id_venda;data;cliente;produto;categoria;quantidade;valor_unitario;cidade;estado;forma_pagamento
1;2026-01-01 00:19:00;Arthur Fernandes;Roteador Wi-Fi 6;Informática;7;320.0;Londrina;PR;Boleto Bancário
2;2026-01-01 09:18:00;Rafael Ferreira;Notebook Pro;Informática;4;6200.0;Apucarana;PR;Cartão de Crédito
3;2026-01-01 09:46:00;Amanda Pereira;Mousepad Extended;Informática;6;69.9;Londrina;PR;Pix
4;2026-01-01 21:55:00;Enzo Rodrigues;Memória RAM 16GB DDR4;Informática;4;320.0;Maringá;PR;Boleto Bancário
5;2026-01-01 23:13:00;Amanda Souza;Cabo de Rede CAT6 5m;Informática;6;25.0;Ibiporã;PR;Boleto Bancário
6;2026-01-02 03:49:00;Mateus Vieira;Notebook Gamer;Informática;3;5499.0;Cambé;PR;Cartão de Crédito
7;2026-01-02 05:55:00;João Lopes;HD Externo 2TB;Informática;1;449.0;Cambé;PR;Pix
8;2026-01-02 06:19:00;Mateus Barbosa;Roteador Wi-Fi 6;Informática;10;320.0;Cambé;PR;Cartão de Crédito
9;2026-01-02 13:08:00;Rafael Souza;Mouse Gamer RGB;Informática;5;149.9;Apucarana;PR;Boleto Bancário
10;2026-01-03 03:27:00;João Lima;Water Cooler 240mm;Informática;11;410.0;Londrina;PR;Cartão de Crédito
11;2026-01-03 08:41:00;Guilherme Martins;Suporte Articulado;Informática;1;150.0;Apucarana;PR;Boleto Bancário
12;2026-01-03 14:57:00;Daniel Barbosa;Memória RAM 32GB DDR5;Informática;3;750.0;Maringá;PR;Cartão de Crédito
13;2026-01-03 22:10:00;Gabriel Lima;Scanner de Mesa;Informática;4;650.0;Ibiporã;PR;Pix
14;2026-01-04 06:59:00;Thiago Rodrigues;Monitor Gamer 27 165Hz;Informática;10;1350.0;Ibiporã;PR;Pix
15;2026-01-04 18:18:00;Julia Carvalho;Notebook Gamer;Informática;7;5499.0;Arapongas;PR;Cartão de Crédito
16;2026-01-05 00:34:00;Daniel Ribeiro;Notebook Gamer;Informática;2;5499.0;Arapongas;PR;Boleto Bancário
17;2026-01-05 02:18:00;Mateus Barbosa;Filtro Linha 6 Tomadas;Informática;12;49.9;Apucarana;PR;Pix
18;2026-01-05 07:13:00;Bruna Fernandes;Monitor Gamer 27 165Hz;Informática;10;1350.0;Londrina;PR;Boleto Bancário
19;2026-01-05 08:35:00;Beatriz Rodrigues;Placa-Mãe MSI Gaming;Informática;8;890.0;Ibiporã;PR;Boleto Bancário
20;2026-01-05 11:19:00;João Pereira;Impressora Tanque Tinta;Informática;2;1100.0;Cambé;PR;Pix
21;2026-01-05 11:21:00;Mateus Vieira;HD Externo 2TB;Informática;4;449.0;Arapongas;PR;Pix
22;2026-01-05 11:50:00;Letícia Souza;Mouse Gamer RGB;Informática;6;149.9;Cambé;PR;Boleto Bancário
23;2026-01-05 20:32:00;Leonardo Alves;Memória RAM 32GB DDR5;Informática;8;750.0;Apucarana;PR;Boleto Bancário
24;2026-01-06 01:50:00;Mateus Pereira;Suporte Articulado;Informática;1;150.0;Londrina;PR;Boleto Bancário
25;2026-01-06 12:55:00;Larissa Fernandes;Monitor 21.5 IPS;Informática;2;599.0;Maringá;PR;Pix
26;2026-01-06 18:24:00;Felipe Pereira;Monitor 21.5 IPS;Informática;7;599.0;Maringá;PR;Boleto Bancário
27;2026-01-06 21:52:00;João Santos;Memória RAM 32GB DDR5;Informática;5;750.0;Maringá;PR;Pix
28;2026-01-07 01:15:00;Larissa Oliveira;Placa-Mãe MSI Gaming;Informática;6;890.0;Apucarana;PR;Cartão de Crédito
29;2026-01-07 02:22:00;Gustavo Martins;Headset Gamer;Informática;11;199.9;Maringá;PR;Cartão de Crédito
30;2026-01-07 02:41:00;Vitor Barbosa;Caixa de Som PC;Informática;5;120.0;Ibiporã;PR;Boleto Bancário
31;2026-01-07 04:00:00;Larissa Almeida;Suporte Articulado;Informática;7;150.0;Ibiporã;PR;Cartão de Crédito
